Nr.	Depth	Coverage	Quality	Probability	Positives	p-Value	Conditions
151	5	1321	0.2472299188375473	0.5404996214988645	714.0	NaN	Y in (-inf, 7793429.0] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND X in (-inf, 614244.56] AND AREA_TERRENO in (413.0, inf) AND TIPO_CONSTRUTIVO = 'CASA'
152	5	1321	0.2472299188375473	0.5404996214988645	714.0	NaN	Y in (-inf, 7793429.0] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND X in (-inf, 614244.56] AND TIPO_CONSTRUTIVO = 'CASA' AND AREA_TERRENO in (413.0, inf)
153	5	1321	0.2472299188375473	0.5404996214988645	714.0	NaN	Y in (-inf, 7793429.0] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND AREA_TERRENO in (413.0, inf) AND X in (-inf, 614244.56] AND TIPO_CONSTRUTIVO = 'CASA'
154	5	1321	0.2472299188375473	0.5404996214988645	714.0	NaN	Y in (-inf, 7793429.0] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND AREA_TERRENO in (413.0, inf) AND TIPO_CONSTRUTIVO = 'CASA' AND X in (-inf, 614244.56]
155	5	1321	0.2472299188375473	0.5404996214988645	714.0	NaN	Y in (-inf, 7793429.0] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND TIPO_CONSTRUTIVO = 'CASA' AND X in (-inf, 614244.56] AND AREA_TERRENO in (413.0, inf)
156	5	1321	0.2472299188375473	0.5404996214988645	714.0	NaN	Y in (-inf, 7793429.0] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND TIPO_CONSTRUTIVO = 'CASA' AND AREA_TERRENO in (413.0, inf) AND X in (-inf, 614244.56]
157	4	1323	0.24705882370471954	0.5396825396825397	714.0	NaN	Y in (-inf, 7793429.0] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND AREA_TERRENO in (413.0, inf) AND TIPO_CONSTRUTIVO = 'CASA'
158	4	1323	0.24705882370471954	0.5396825396825397	714.0	NaN	Y in (-inf, 7793429.0] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND TIPO_CONSTRUTIVO = 'CASA' AND AREA_TERRENO in (413.0, inf)
159	4	1135	0.24611398577690125	0.5859030837004405	665.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND X in (609141.75, 614244.56] AND AREA_TERRENO in (552.0, 21167.36] AND AREA_CONSTRUCAO in (399.06, 3444.27]
160	4	1135	0.24611398577690125	0.5859030837004405	665.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND AREA_TERRENO in (552.0, 21167.36] AND X in (609126.25, 614244.56] AND AREA_CONSTRUCAO in (399.06, 3444.27]
161	4	1135	0.24611398577690125	0.5859030837004405	665.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND AREA_TERRENO in (552.0, 21167.36] AND AREA_CONSTRUCAO in (399.06, 3444.27] AND X in (608790.4, 614244.56]
162	3	1138	0.24584104120731354	0.5843585237258347	665.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND AREA_TERRENO in (552.0, 21167.36] AND AREA_CONSTRUCAO in (399.06, 3444.27]
163	5	1526	0.2457161396741867	0.4980340760157274	760.0	NaN	Y in (-inf, 7793429.0] AND X in (609126.25, 614244.56] AND TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791073.5, inf) AND AREA_CONSTRUCAO in (399.98, 3444.27]
164	5	1526	0.2457161396741867	0.4980340760157274	760.0	NaN	Y in (-inf, 7793429.0] AND X in (609126.25, 614244.56] AND TIPO_CONSTRUTIVO = 'CASA' AND AREA_CONSTRUCAO in (399.98, 3444.27] AND Y in (7791068.0, inf)
165	5	1526	0.2457161396741867	0.4980340760157274	760.0	NaN	Y in (-inf, 7793429.0] AND TIPO_CONSTRUTIVO = 'CASA' AND X in (609126.25, 614244.56] AND Y in (7791073.5, inf) AND AREA_CONSTRUCAO in (399.98, 3444.27]
166	5	1526	0.2457161396741867	0.4980340760157274	760.0	NaN	Y in (-inf, 7793429.0] AND TIPO_CONSTRUTIVO = 'CASA' AND X in (609126.25, 614244.56] AND AREA_CONSTRUCAO in (399.98, 3444.27] AND Y in (7791068.0, inf)
167	5	1526	0.2457161396741867	0.4980340760157274	760.0	NaN	Y in (-inf, 7793429.0] AND TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791073.5, inf) AND X in (609126.25, 614244.56] AND AREA_CONSTRUCAO in (399.98, 3444.27]
168	5	1526	0.2457161396741867	0.4980340760157274	760.0	NaN	Y in (-inf, 7793429.0] AND TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791073.5, inf) AND AREA_CONSTRUCAO in (399.98, 3444.27] AND X in (-inf, 614244.56]
169	5	1526	0.2457161396741867	0.4980340760157274	760.0	NaN	Y in (-inf, 7793429.0] AND TIPO_CONSTRUTIVO = 'CASA' AND AREA_CONSTRUCAO in (399.98, 3444.27] AND X in (-inf, 614244.56] AND Y in (7791068.0, inf)
